Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
7,Agresión sexual con penetración,2023-4,6,trimestre
8,Resto de delitos contra la libertad sexual,2023-4,13,trimestre
9,Robos con violencia e intimidación,2023-4,375,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2023-4,102,trimestre
11,Robos con fuerza en domicilios,2023-4,54,trimestre
12,Hurtos,2023-4,977,trimestre
13,Sustracciones de vehículos,2023-4,55,trimestre
14,Tráfico de drogas,2023-4,28,trimestre
15,Resto de criminalidad convencional,2023-4,1482,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2023-4,626,trimestre
17,Estafas informáticas,2023-4,613,trimestre
18,Otros ciberdelitos,2023-4,13,trimestre
19,TOTAL INFRACCIONES PENALES,2023-4,3703,trimestre
1,CRIMINALIDAD CONVENCIONAL,2024-1,3249,trimestre
2,Homicidios dolosos y asesinatos consumados,2024-1,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2024-1,3,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2024-1,33,trimestre
5,Secuestro,2024-1,0,trimestre
6,Delitos contra la libertad sexual,2024-1,21,trimestre
7,Agresión sexual con penetración,2024-1,10,trimestre
8,Resto de delitos contra la libertad sexual,2024-1,11,trimestre
9,Robos con violencia e intimidación,2024-1,405,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2024-1,179,trimestre
11,Robos con fuerza en domicilios,2024-1,112,trimestre
12,Hurtos,2024-1,916,trimestre
13,Sustracciones de vehículos,2024-1,54,trimestre
14,Tráfico de drogas,2024-1,24,trimestre
15,Resto de criminalidad convencional,2024-1,1614,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2024-1,637,trimestre
17,Estafas informáticas,2024-1,615,trimestre
18,Otros ciberdelitos,2024-1,22,trimestre
19,TOTAL INFRACCIONES PENALES,2024-1,3886,trimestre
1,CRIMINALIDAD CONVENCIONAL,2024-2,3145,trimestre
2,Homicidios dolosos y asesinatos consumados,2024-2,1,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2024-2,3,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2024-2,35,trimestre
5,Secuestro,2024-2,0,trimestre
